Epoch,step,lr,loss,acc
1,0,0.0005,94.9943,0.0460341749554
1,102400,0.0005,1.61739,0.633766896215
1,204800,0.0005,1.04982,0.879112471339
1,307200,0.0005,0.463036,0.933052792701
2,0,0.0005,0.86584,0.937515939978
2,102400,0.0005,0.320135,0.954348380409
2,204800,0.0005,0.33414,0.959576638628
2,307200,0.0005,0.42072,0.963147156474
3,0,0.0005,0.250821,0.96735526665
3,102400,0.0005,0.173637,0.965825044647
3,204800,0.0005,0.245922,0.969523080984
3,307200,0.0005,0.240286,0.970415710415
4,0,0.0005,0.169731,0.972711043101
4,102400,0.0005,0.206027,0.973221117062
4,204800,0.0005,0.301711,0.973731191023
4,307200,0.0005,0.312598,0.975261412905
5,0,0.0005,0.12355,0.972966080082
5,102400,0.0005,0.209485,0.974368783474
5,204800,0.0005,0.201612,0.974113746493
5,307200,0.0005,0.0644086,0.976536597807
6,0,0.0004,0.308347,0.973731191023
6,102400,0.0004,0.103595,0.976154042336
6,204800,0.0004,0.215202,0.976281560826
6,307200,0.0004,0.202094,0.974751338944
7,0,0.0004,0.212652,0.976664116297
7,102400,0.0004,0.25206,0.978066819689
7,204800,0.0004,0.379026,0.976281560826
7,307200,0.0004,0.11298,0.979597041571
8,0,0.0004,0.11273,0.976154042336
8,102400,0.0004,0.247732,0.977301708748
8,204800,0.0004,0.239232,0.976919153277
8,307200,0.0004,0.254148,0.978321856669
9,0,0.0004,0.118001,0.978194338179
9,102400,0.0004,0.347789,0.976664116297
9,204800,0.0004,0.175543,0.977046671767
9,307200,0.0004,0.0678026,0.978194338179
10,0,0.0004,0.0666185,0.977174190258
10,102400,0.0004,0.0386021,0.977046671767
10,204800,0.0004,0.168781,0.976536597807
10,307200,0.0004,0.181836,0.976664116297
11,0,0.00032,0.297178,0.978449375159
11,102400,0.00032,0.221096,0.977939301199
11,204800,0.00032,0.115575,0.977301708748
11,307200,0.00032,0.148509,0.977174190258
12,0,0.00032,0.293955,0.977684264218
12,102400,0.00032,0.0993209,0.978194338179
12,204800,0.00032,0.126223,0.976664116297
12,307200,0.00032,0.229229,0.976281560826
13,0,0.00032,0.191494,0.9792144861
13,102400,0.00032,0.280754,0.978194338179
13,204800,0.00032,0.150455,0.97870441214
13,307200,0.00032,0.139899,0.978449375159
14,0,0.00032,0.100427,0.979342004591
14,102400,0.00032,0.199382,0.980362152512
14,204800,0.00032,0.156507,0.977429227238
14,307200,0.00032,0.218839,0.975899005356
15,0,0.00032,0.149182,0.975133894415
15,102400,0.00032,0.149514,0.977429227238
15,204800,0.00032,0.20221,0.976919153277
15,307200,0.00032,0.312973,0.977174190258
